timestamp,pod_name,cpu(m),memory(Mi),node
2026-03-31 19:00:29,nginx-deployment-65f54b4ccf-pqnks,33m,14Mi,minikube
2026-03-31 19:00:29,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:00:36,load-generator,811m,5Mi,minikube
2026-03-31 19:00:36,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:00:36,nginx-deployment-65f54b4ccf-pqnks,33m,14Mi,minikube
2026-03-31 19:00:36,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:00:47,load-generator,811m,5Mi,minikube
2026-03-31 19:00:47,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:00:47,nginx-deployment-65f54b4ccf-pqnks,33m,14Mi,minikube
2026-03-31 19:00:47,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:00:54,load-generator,811m,5Mi,minikube
2026-03-31 19:00:54,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:00:54,nginx-deployment-65f54b4ccf-pqnks,33m,14Mi,minikube
2026-03-31 19:00:54,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:01:02,load-generator,811m,5Mi,minikube
2026-03-31 19:01:02,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:01:02,nginx-deployment-65f54b4ccf-pqnks,33m,14Mi,minikube
2026-03-31 19:01:02,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:01:09,load-generator,811m,5Mi,minikube
2026-03-31 19:01:09,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:01:09,nginx-deployment-65f54b4ccf-pqnks,33m,14Mi,minikube
2026-03-31 19:01:09,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:01:20,load-generator,845m,5Mi,minikube
2026-03-31 19:01:20,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:01:20,nginx-deployment-65f54b4ccf-pqnks,36m,13Mi,minikube
2026-03-31 19:01:20,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 19:01:27,load-generator,845m,5Mi,minikube
2026-03-31 19:01:27,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:01:27,nginx-deployment-65f54b4ccf-pqnks,36m,13Mi,minikube
2026-03-31 19:01:27,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 19:01:35,load-generator,845m,5Mi,minikube
2026-03-31 19:01:35,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:01:35,nginx-deployment-65f54b4ccf-pqnks,36m,13Mi,minikube
2026-03-31 19:01:35,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 19:01:43,load-generator,845m,5Mi,minikube
2026-03-31 19:01:43,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:01:43,nginx-deployment-65f54b4ccf-pqnks,36m,13Mi,minikube
2026-03-31 19:01:43,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 19:01:50,load-generator,845m,5Mi,minikube
2026-03-31 19:01:50,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:01:50,nginx-deployment-65f54b4ccf-pqnks,36m,13Mi,minikube
2026-03-31 19:01:50,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 19:02:01,load-generator,845m,5Mi,minikube
2026-03-31 19:02:01,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:02:01,nginx-deployment-65f54b4ccf-pqnks,36m,13Mi,minikube
2026-03-31 19:02:01,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 19:02:09,load-generator,845m,5Mi,minikube
2026-03-31 19:02:09,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:02:09,nginx-deployment-65f54b4ccf-pqnks,36m,13Mi,minikube
2026-03-31 19:02:09,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 19:02:16,load-generator,845m,5Mi,minikube
2026-03-31 19:02:16,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:02:16,nginx-deployment-65f54b4ccf-pqnks,36m,13Mi,minikube
2026-03-31 19:02:16,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 19:02:24,load-generator,807m,5Mi,minikube
2026-03-31 19:02:24,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:02:24,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 19:02:24,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:02:35,load-generator,807m,5Mi,minikube
2026-03-31 19:02:35,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:02:35,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 19:02:35,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:02:43,load-generator,807m,5Mi,minikube
2026-03-31 19:02:43,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:02:43,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 19:02:43,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:02:50,load-generator,807m,5Mi,minikube
2026-03-31 19:02:50,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:02:50,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 19:02:50,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:02:58,load-generator,807m,5Mi,minikube
2026-03-31 19:02:58,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:02:58,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 19:02:58,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:03:08,load-generator,807m,5Mi,minikube
2026-03-31 19:03:08,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:03:08,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 19:03:08,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:03:16,load-generator,807m,5Mi,minikube
2026-03-31 19:03:16,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:03:16,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 19:03:16,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:03:24,load-generator,810m,4Mi,minikube
2026-03-31 19:03:24,nginx-deployment-65f54b4ccf-cdpps,34m,13Mi,minikube
2026-03-31 19:03:24,nginx-deployment-65f54b4ccf-pqnks,34m,13Mi,minikube
2026-03-31 19:03:24,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 19:03:31,load-generator,810m,4Mi,minikube
2026-03-31 19:03:31,nginx-deployment-65f54b4ccf-cdpps,34m,13Mi,minikube
2026-03-31 19:03:31,nginx-deployment-65f54b4ccf-pqnks,34m,13Mi,minikube
2026-03-31 19:03:31,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 19:03:41,load-generator,810m,4Mi,minikube
2026-03-31 19:03:41,nginx-deployment-65f54b4ccf-cdpps,34m,13Mi,minikube
2026-03-31 19:03:41,nginx-deployment-65f54b4ccf-pqnks,34m,13Mi,minikube
2026-03-31 19:03:41,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 19:03:48,load-generator,810m,4Mi,minikube
2026-03-31 19:03:48,nginx-deployment-65f54b4ccf-cdpps,34m,13Mi,minikube
2026-03-31 19:03:48,nginx-deployment-65f54b4ccf-pqnks,34m,13Mi,minikube
2026-03-31 19:03:48,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 19:03:56,load-generator,810m,4Mi,minikube
2026-03-31 19:03:56,nginx-deployment-65f54b4ccf-cdpps,34m,13Mi,minikube
2026-03-31 19:03:56,nginx-deployment-65f54b4ccf-pqnks,34m,13Mi,minikube
2026-03-31 19:03:56,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 19:04:03,load-generator,810m,4Mi,minikube
2026-03-31 19:04:03,nginx-deployment-65f54b4ccf-cdpps,34m,13Mi,minikube
2026-03-31 19:04:03,nginx-deployment-65f54b4ccf-pqnks,34m,13Mi,minikube
2026-03-31 19:04:03,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 19:04:11,load-generator,810m,4Mi,minikube
2026-03-31 19:04:11,nginx-deployment-65f54b4ccf-cdpps,34m,13Mi,minikube
2026-03-31 19:04:11,nginx-deployment-65f54b4ccf-pqnks,34m,13Mi,minikube
2026-03-31 19:04:11,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 19:04:21,load-generator,810m,4Mi,minikube
2026-03-31 19:04:21,nginx-deployment-65f54b4ccf-cdpps,34m,13Mi,minikube
2026-03-31 19:04:21,nginx-deployment-65f54b4ccf-pqnks,34m,13Mi,minikube
2026-03-31 19:04:21,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 19:04:28,load-generator,810m,4Mi,minikube
2026-03-31 19:04:28,nginx-deployment-65f54b4ccf-cdpps,34m,13Mi,minikube
2026-03-31 19:04:28,nginx-deployment-65f54b4ccf-pqnks,34m,13Mi,minikube
2026-03-31 19:04:28,nginx-deployment-65f54b4ccf-tzbqb,34m,13Mi,minikube
2026-03-31 19:04:36,load-generator,809m,5Mi,minikube
2026-03-31 19:04:36,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:04:36,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 19:04:36,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:04:43,load-generator,809m,5Mi,minikube
2026-03-31 19:04:43,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
