2026-04-22 05:55:53.308340,cpu-loader-deployment-6df58f49b6-r46b4,233m,0Mi,35h
2026-04-22 05:55:53.308351,ml-pod-1776708350,235m,0Mi,35h
2026-04-22 05:55:53.308361,ml-pod-1776708681,238m,0Mi,35h
2026-04-22 05:55:53.308370,ml-pod-1776708980,238m,0Mi,35h
2026-04-22 05:55:53.308380,ml-pod-1776709365,234m,0Mi,35h
2026-04-22 05:55:53.308390,ml-pod-1776709635,225m,0Mi,35h
2026-04-22 05:55:53.308399,ml-pod-1776709823,238m,0Mi,35h
2026-04-22 05:55:53.308409,ml-pod-1776709890,235m,1Mi,35h
2026-04-22 05:55:53.308418,ml-pod-1776710501,232m,0Mi,35h
2026-04-22 05:55:53.308428,ml-pod-1776710648,224m,0Mi,35h
2026-04-22 05:55:53.308438,ml-pod-1776710926,235m,0Mi,35h
2026-04-22 05:55:53.308447,ml-pod-1776710980,237m,0Mi,35h
2026-04-22 05:55:59.464930,cpu-loader-2-deployment-b5f7754c6-fkcnh,1391m,164Mi,35h
2026-04-22 05:55:59.464966,cpu-loader-2-deployment-b5f7754c6-lqpht,1392m,316Mi,35h
2026-04-22 05:55:59.464977,cpu-loader-2-deployment-b5f7754c6-mgcgg,1390m,236Mi,35h
2026-04-22 05:55:59.464988,cpu-loader-2-deployment-b5f7754c6-mmcfh,641m,0Mi,35h
2026-04-22 05:55:59.464998,cpu-loader-2-deployment-b5f7754c6-zmb9v,234m,1Mi,35h
2026-04-22 05:55:59.465008,cpu-loader-deployment-6df58f49b6-r46b4,233m,0Mi,35h
2026-04-22 05:55:59.465018,ml-pod-1776708350,235m,0Mi,35h
2026-04-22 05:55:59.465023,ml-pod-1776708681,238m,0Mi,35h
2026-04-22 05:55:59.465029,ml-pod-1776708980,238m,0Mi,35h
2026-04-22 05:55:59.465034,ml-pod-1776709365,234m,0Mi,35h
2026-04-22 05:55:59.465038,ml-pod-1776709635,225m,0Mi,35h
2026-04-22 05:55:59.465043,ml-pod-1776709823,238m,0Mi,35h
2026-04-22 05:55:59.465049,ml-pod-1776709890,235m,1Mi,35h
2026-04-22 05:55:59.465053,ml-pod-1776710501,232m,0Mi,35h
2026-04-22 05:55:59.465225,ml-pod-1776710648,224m,0Mi,35h
2026-04-22 05:55:59.465240,ml-pod-1776710926,235m,0Mi,35h
2026-04-22 05:55:59.465249,ml-pod-1776710980,237m,0Mi,35h
2026-04-22 05:56:07.886769,cpu-loader-2-deployment-b5f7754c6-fkcnh,1391m,164Mi,35h
2026-04-22 05:56:07.886806,cpu-loader-2-deployment-b5f7754c6-lqpht,1392m,316Mi,35h
2026-04-22 05:56:07.886817,cpu-loader-2-deployment-b5f7754c6-mgcgg,1390m,236Mi,35h
